statement_number,shipment_date,pro_number,reference,bol,shipper_name,shipper_city,shipper_state,shipper_zip_code,consignee_name,consignee_city,consignee_state,consignee_zip_code,pallets,class,weight,purchase_order,gross_amount,fuel_surcharge,discount_amount,net_amount,paid_to_date,store_number
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,50,19,                    ,5.97,9.11,46.46,69.86,0,     
8124961,21315,337990023,NS                  ,NS                  ,CROWNHILL PACKAGING           ,WAUKEGAN            ,IL,60085,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,70,993,281492,236.14,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,7,                    ,1.66,12.13,156.95,92.98,0,     
8124961,21115,338006697,N                   ,NS                  ,CROWNHILL PACKAGING           ,WAUKEGAN            ,IL,60085,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,70,985,NS                  ,208.72,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,70,1085,                    ,229.91,22.37,289.5,171.5,0,     
8124961,20915,338010010,NS                  ,NS                  ,CROWN PACKAGING               ,WAUKEGAN            ,IL,60085,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,125,454,278362,267.59,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,46,                    ,27.11,15.03,194.5,115.23,0,     
8124961,20615,338059919,NS                  ,2/5/2015,MPI                           ,RIVERVIEW           ,MI,48193,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,65,1000,NS                  ,254.2,12.96,167.77,99.39,0,     
8124961,21315,338117080,NS                  ,50015004,BORGWARNER EMISSIONS          ,DIXON               ,IL,61021,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,7,85,9730,257260,1418.63,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,270,                    ,39.37,74.36,962.28,570.08,0,     
8124961,20915,338134357,NS                  ,60886,BORGWARNER EMISSIONS          ,DIXON               ,IL,61021,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,4,85,5560,NS                  ,863.47,44.04,569.89,337.62,0,     
8124961,20915,338134365,96619,2722,BORGWARNER EMISSIONS          ,DIXON               ,IL,61021,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,85,998,281345,232.04,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,2,                    ,0.47,11.86,153.46,90.91,0,     
8124961,21015,338134521,96623,2725,BORGWARNER EMISSIONS          ,DIXON               ,IL,61021,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,3,70,2850,NS                  ,584.25,29.8,385.61,228.44,0,     
8124961,21115,338157036,675613,NS                  ,GREAT LAKES POWDER COATING    ,WALLED LAKE         ,MI,48390,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,125,265,276130,186.43,9.51,123.04,72.9,0,     
8124961,21215,338161376,676109,NS                  ,GREAT LAKES POWEDER COATING   ,WALLED LAKE         ,MI,48390,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,50,25,276130,89.5,9.11,28.75,69.86,0,     
8124961,21215,338375894,NS                  ,B000621441          ,DEFIANCE METAL PRODUCTS CO    ,DEFIANCE            ,OH,43512,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,16,50,2749,NS                  ,591.86,30.18,390.63,231.41,0,     
8124961,21315,338375951,Z000116324          ,B000621586          ,DEFIANCE METAL PRODUCTS CO    ,DEFIANCE            ,OH,43512,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,25,85,3948,NS                  ,649.45,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,85,950,                    ,156.28,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,102,                    ,16.78,41.95,542.86,321.6,0,     
8124961,21315,338378806,NS                  ,NS                  ,MONROE ENGINEERING/MPI        ,RIVERVIEW           ,MI,48193,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,55,1000,NS                  ,254.2,12.96,167.77,99.39,0,     
8124961,21215,338590351,251798,92592,MAYNARD MANUFACTURING         ,CHESTERFIELD        ,MI,48051,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,0,50,19,MultiplePO#s(2)     ,89.5,9.11,28.75,69.86,0,     
8124961,21315,338642988,251875,92665,MAYNARD MANUFACTURING         ,CHESTERFIELD        ,MI,48051,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,50,370,MultiplePO#s(2)     ,116.33,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,50,24,                    ,7.55,9.11,63.12,69.87,0,     
8124961,20915,338662605,NS                  ,NEW00161            ,ZYNP INTL                     ,ROMULUS             ,MI,48174,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,3,85,5996,NS                  ,1012.12,51.62,668,395.74,0,     
8124961,21315,338679981,NS                  ,NS                  ,GREAT LAKES POWDER COATING    ,WALLED LAKE         ,MI,48390,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,1,125,110,NS                  ,89.5,9.11,28.75,69.86,0,     
